k1	b	k3	MAP
1.2	0.6	200	0.637841
1.2	0.6	300	0.633138
1.2	0.6	400	0.633138
1.2	0.6	500	0.633138
1.2	0.6	600	0.633138
1.2	0.6	700	0.633138
1.2	0.6	800	0.633138
1.2	0.65	200	0.63865
1.2	0.65	300	0.63865
1.2	0.65	400	0.63865
1.2	0.65	500	0.63865
1.2	0.65	600	0.63865
1.2	0.65	700	0.63865
1.2	0.65	800	0.63865
1.2	0.7	200	0.641656
1.2	0.7	300	0.641656
1.2	0.7	400	0.641656
1.2	0.7	500	0.641656
1.2	0.7	600	0.641656
1.2	0.7	700	0.641656
1.2	0.7	800	0.641656
1.2	0.75	200	0.642544
1.2	0.75	300	0.642544
1.2	0.75	400	0.642544
1.2	0.75	500	0.642544
1.2	0.75	600	0.642544
1.2	0.75	700	0.642544
1.2	0.75	800	0.642544
1.2	0.8	200	0.6431
1.2	0.8	300	0.6431
1.2	0.8	400	0.6431
1.2	0.8	500	0.6431
1.2	0.8	600	0.6431
1.2	0.8	700	0.6431
1.2	0.8	800	0.6431
1.2	0.85	200	0.647712
1.2	0.85	300	0.647712
1.2	0.85	400	0.647712
1.2	0.85	500	0.647712
1.2	0.85	600	0.647712
1.2	0.85	700	0.647712
1.2	0.85	800	0.647712
1.2	0.9	200	0.64753
1.2	0.9	300	0.64753
1.2	0.9	400	0.64753
1.2	0.9	500	0.64753
1.2	0.9	600	0.64753
1.2	0.9	700	0.64753
1.2	0.9	800	0.64753
1.2	0.95	200	0.644789
1.2	0.95	300	0.644789
1.2	0.95	400	0.644789
1.2	0.95	500	0.644789
1.2	0.95	600	0.644789
1.2	0.95	700	0.644789
1.2	0.95	800	0.644789
1.2	1	200	0.639179
1.2	1	300	0.639179
1.2	1	400	0.639179
1.2	1	500	0.639179
1.2	1	600	0.639179
1.2	1	700	0.639179
1.2	1	800	0.639179
1.2	1.5	200	0.468024
1.2	1.5	300	0.468024
1.2	1.5	400	0.468024
1.2	1.5	500	0.468024
1.2	1.5	600	0.468024
1.2	1.5	700	0.468024
1.2	1.5	800	0.468024
1.2	2	200	0.232048
1.2	2	300	0.232048
1.2	2	400	0.232048
1.2	2	500	0.232048
1.2	2	600	0.232048
1.2	2	700	0.232048
1.2	2	800	0.232048
1.2	3	200	0.0897213
1.2	3	300	0.0897213
1.2	3	400	0.0897213
1.2	3	500	0.0897213
1.2	3	600	0.0897213
1.2	3	700	0.0897213
1.2	3	800	0.0897213
1.3	0.6	200	0.634805
1.3	0.6	300	0.634805
1.3	0.6	400	0.634805
1.3	0.6	500	0.634805
1.3	0.6	600	0.634805
1.3	0.6	700	0.634805
1.3	0.6	800	0.634805
1.3	0.65	200	0.640833
1.3	0.65	300	0.640833
1.3	0.65	400	0.640833
1.3	0.65	500	0.640833
1.3	0.65	600	0.640833
1.3	0.65	700	0.640833
1.3	0.65	800	0.640833
1.3	0.7	200	0.64285
1.3	0.7	300	0.64285
1.3	0.7	400	0.64285
1.3	0.7	500	0.64285
1.3	0.7	600	0.64285
1.3	0.7	700	0.64285
1.3	0.7	800	0.64285
1.3	0.75	200	0.643622
1.3	0.75	300	0.643622
1.3	0.75	400	0.643622
1.3	0.75	500	0.643622
1.3	0.75	600	0.643622
1.3	0.75	700	0.643622
1.3	0.75	800	0.643622
1.3	0.8	200	0.643883
1.3	0.8	300	0.643883
1.3	0.8	400	0.643883
1.3	0.8	500	0.643883
1.3	0.8	600	0.643883
1.3	0.8	700	0.643883
1.3	0.8	800	0.643883
1.3	0.85	200	0.649483
1.3	0.85	300	0.649483
1.3	0.85	400	0.649483
1.3	0.85	500	0.649483
1.3	0.85	600	0.649483
1.3	0.85	700	0.649483
1.3	0.85	800	0.649483
1.3	0.9	200	0.647108
1.3	0.9	300	0.647108
1.3	0.9	400	0.647108
1.3	0.9	500	0.647108
1.3	0.9	600	0.647108
1.3	0.9	700	0.647108
1.3	0.9	800	0.647108
1.3	0.95	200	0.647796
1.3	0.95	300	0.647796
1.3	0.95	400	0.647796
1.3	0.95	500	0.647796
1.3	0.95	600	0.647796
1.3	0.95	700	0.647796
1.3	0.95	800	0.647796
1.3	1	200	0.642195
1.3	1	300	0.642195
1.3	1	400	0.642195
1.3	1	500	0.642195
1.3	1	600	0.642195
1.3	1	700	0.642195
1.3	1	800	0.642195
1.3	1.5	200	0.465199
1.3	1.5	300	0.465199
1.3	1.5	400	0.465199
1.3	1.5	500	0.465199
1.3	1.5	600	0.465199
1.3	1.5	700	0.465199
1.3	1.5	800	0.465199
1.3	2	200	0.204928
1.3	2	300	0.204928
1.3	2	400	0.204928
1.3	2	500	0.204928
1.3	2	600	0.204928
1.3	2	700	0.204928
1.3	2	800	0.204928
1.3	3	200	0.0881087
1.3	3	300	0.0881087
1.3	3	400	0.0881087
1.3	3	500	0.0881087
1.3	3	600	0.0881087
1.3	3	700	0.0881087
1.3	3	800	0.0881087
1.4	0.6	200	0.636456
1.4	0.6	300	0.636456
1.4	0.6	400	0.636456
1.4	0.6	500	0.636456
1.4	0.6	600	0.636456
1.4	0.6	700	0.636456
1.4	0.6	800	0.636456
1.4	0.65	200	0.641539
1.4	0.65	300	0.641539
1.4	0.65	400	0.641539
1.4	0.65	500	0.641539
1.4	0.65	600	0.641539
1.4	0.65	700	0.641539
1.4	0.65	800	0.641539
1.4	0.7	200	0.644787
1.4	0.7	300	0.644787
1.4	0.7	400	0.644787
1.4	0.7	500	0.644787
