s	mu	alpha	lambda	MAP
0.1	500	0.1	0.1	0.471554
0.1	1000	0.1	0.1	0.403147
0.1	2000	0.1	0.1	0.405793
0.1	5000	0.1	0.1	0.388164
0.15	500	0.1	0.1	0.384355
0.15	1000	0.1	0.1	0.406516
0.15	2000	0.1	0.1	0.40948
0.15	5000	0.1	0.1	0.391603
0.2	500	0.1	0.1	0.386518
0.2	1000	0.1	0.1	0.408933
0.2	2000	0.1	0.1	0.412829
0.2	5000	0.1	0.1	0.393463
0.25	500	0.1	0.1	0.388935
0.25	1000	0.1	0.1	0.41324
0.25	2000	0.1	0.1	0.416726
0.25	5000	0.1	0.1	0.395465
0.3	500	0.1	0.1	0.396458
0.3	1000	0.1	0.1	0.415517
0.3	2000	0.1	0.1	0.419334
0.3	5000	0.1	0.1	0.397795
0.35	500	0.1	0.1	0.39862
0.35	1000	0.1	0.1	0.418104
0.35	2000	0.1	0.1	0.421066
0.35	5000	0.1	0.1	0.401094
0.4	500	0.1	0.1	0.400951
0.4	1000	0.1	0.1	0.420879
0.4	2000	0.1	0.1	0.422278
0.4	5000	0.1	0.1	0.402774
0.1	500	0.1	0.2	0.389269
0.1	1000	0.1	0.2	0.415502
0.1	2000	0.1	0.2	0.418332
0.1	5000	0.1	0.2	0.399399
0.15	500	0.1	0.2	0.400552
0.15	1000	0.1	0.2	0.423225
0.15	2000	0.1	0.2	0.426163
0.15	5000	0.1	0.2	0.405996
0.2	500	0.1	0.2	0.41189
0.2	1000	0.1	0.2	0.42738
0.2	2000	0.1	0.2	0.43072
0.2	5000	0.1	0.2	0.413705
0.25	500	0.1	0.2	0.418002
0.25	1000	0.1	0.2	0.437914
0.25	2000	0.1	0.2	0.43734
0.25	5000	0.1	0.2	0.424113
0.3	500	0.1	0.2	0.424154
0.3	1000	0.1	0.2	0.445203
0.3	2000	0.1	0.2	0.449212
0.3	5000	0.1	0.2	0.427821
0.35	500	0.1	0.2	0.429804
0.35	1000	0.1	0.2	0.453706
0.35	2000	0.1	0.2	0.458611
0.35	5000	0.1	0.2	0.429802
0.4	500	0.1	0.2	0.435603
0.4	1000	0.1	0.2	0.460412
0.4	2000	0.1	0.2	0.46341
0.4	5000	0.1	0.2	0.430945
0.1	500	0.1	0.3	0.409687
0.1	1000	0.1	0.3	0.430657
0.1	2000	0.1	0.3	0.436202
0.1	5000	0.1	0.3	0.415718
0.15	500	0.1	0.3	0.420909
0.15	1000	0.1	0.3	0.442567
0.15	2000	0.1	0.3	0.445839
0.15	5000	0.1	0.3	0.423669
0.2	500	0.1	0.3	0.429621
0.2	1000	0.1	0.3	0.453191
0.2	2000	0.1	0.3	0.456041
0.2	5000	0.1	0.3	0.431398
0.25	500	0.1	0.3	0.439162
0.25	1000	0.1	0.3	0.465157
0.25	2000	0.1	0.3	0.468994
0.25	5000	0.1	0.3	0.435142
0.3	500	0.1	0.3	0.450321
0.3	1000	0.1	0.3	0.474235
0.3	2000	0.1	0.3	0.479298
0.3	5000	0.1	0.3	0.440429
0.35	500	0.1	0.3	0.458234
0.35	1000	0.1	0.3	0.483194
0.35	2000	0.1	0.3	0.487817
0.35	5000	0.1	0.3	0.445138
0.4	500	0.1	0.3	0.46857
0.4	1000	0.1	0.3	0.497925
0.4	2000	0.1	0.3	0.495358
0.4	5000	0.1	0.3	0.450025
0.1	500	0.1	0.4	0.419187
0.1	1000	0.1	0.4	0.4414
0.1	2000	0.1	0.4	0.446633
0.1	5000	0.1	0.4	0.424949
0.15	500	0.1	0.4	0.435536
0.15	1000	0.1	0.4	0.459148
0.15	2000	0.1	0.4	0.459749
0.15	5000	0.1	0.4	0.433745
0.2	500	0.1	0.4	0.450817
0.2	1000	0.1	0.4	0.473887
0.2	2000	0.1	0.4	0.476619
0.2	5000	0.1	0.4	0.438533
0.25	500	0.1	0.4	0.463025
0.25	1000	0.1	0.4	0.48784
0.25	2000	0.1	0.4	0.490876
0.25	5000	0.1	0.4	0.448541
0.3	500	0.1	0.4	0.476642
0.3	1000	0.1	0.4	0.505021
0.3	2000	0.1	0.4	0.502241
0.3	5000	0.1	0.4	0.454312
0.35	500	0.1	0.4	0.488855
0.35	1000	0.1	0.4	0.51674
0.35	2000	0.1	0.4	0.510402
0.35	5000	0.1	0.4	0.457179
0.4	500	0.1	0.4	0.505399
0.4	1000	0.1	0.4	0.529773
0.4	2000	0.1	0.4	0.5196
0.4	5000	0.1	0.4	0.460239
0.1	500	0.1	0.5	0.428644
0.1	1000	0.1	0.5	0.451403
0.1	2000	0.1	0.5	0.455721
0.1	5000	0.1	0.5	0.431362
0.15	500	0.1	0.5	0.451387
0.15	1000	0.1	0.5	0.476049
0.15	2000	0.1	0.5	0.478647
0.15	5000	0.1	0.5	0.440447
0.2	500	0.1	0.5	0.466892
0.2	1000	0.1	0.5	0.49249
0.2	2000	0.1	0.5	0.4942
0.2	5000	0.1	0.5	0.449397
0.25	500	0.1	0.5	0.484296
0.25	1000	0.1	0.5	0.511611
0.25	2000	0.1	0.5	0.506577
0.25	5000	0.1	0.5	0.454927
0.3	500	0.1	0.5	0.498535
0.3	1000	0.1	0.5	0.526159
0.3	2000	0.1	0.5	0.517698
0.3	5000	0.1	0.5	0.459157
0.35	500	0.1	0.5	0.517306
0.35	1000	0.1	0.5	0.5377
0.35	2000	0.1	0.5	0.526635
0.35	5000	0.1	0.5	0.463773
0.4	500	0.1	0.5	0.528835
0.4	1000	0.1	0.5	0.549911
0.4	2000	0.1	0.5	0.5324
0.4	5000	0.1	0.5	0.462256
0.1	500	0.1	0.6	0.442016
0.1	1000	0.1	0.6	0.467084
0.1	2000	0.1	0.6	0.466775
0.1	5000	0.1	0.6	0.436585
0.15	500	0.1	0.6	0.46266
0.15	1000	0.1	0.6	0.488251
0.15	2000	0.1	0.6	0.490276
0.15	5000	0.1	0.6	0.446382
0.2	500	0.1	0.6	0.483386
0.2	1000	0.1	0.6	0.51277
0.2	2000	0.1	0.6	0.50579
0.2	5000	0.1	0.6	0.454557
0.25	500	0.1	0.6	0.50607
0.25	1000	0.1	0.6	0.527865
0.25	2000	0.1	0.6	0.518739
0.25	5000	0.1	0.6	0.460592
0.3	500	0.1	0.6	0.522544
0.3	1000	0.1	0.6	0.543375
0.3	2000	0.1	0.6	0.527069
0.3	5000	0.1	0.6	0.464252
0.35	500	0.1	0.6	0.53622
0.35	1000	0.1	0.6	0.557212
0.35	2000	0.1	0.6	0.53668
0.35	5000	0.1	0.6	0.464471
0.4	500	0.1	0.6	0.550189
0.4	1000	0.1	0.6	0.571875
0.4	2000	0.1	0.6	0.5475
0.4	5000	0.1	0.6	0.461125
0.1	500	0.1	0.7	0.450647
0.1	1000	0.1	0.7	0.475359
0.1	2000	0.1	0.7	0.478055
0.1	5000	0.1	0.7	0.440354
0.15	500	0.1	0.7	0.473534
0.15	1000	0.1	0.7	0.502804
0.15	2000	0.1	0.7	0.499086
0.15	5000	0.1	0.7	0.452041
0.2	500	0.1	0.7	0.496296
0.2	1000	0.1	0.7	0.523732
0.2	2000	0.1	0.7	0.515594
0.2	5000	0.1	0.7	0.460074
0.25	500	0.1	0.7	0.522659
0.25	1000	0.1	0.7	0.5437
0.25	2000	0.1	0.7	0.526494
0.25	5000	0.1	0.7	0.4636
0.3	500	0.1	0.7	0.53915
0.3	1000	0.1	0.7	0.559113
0.3	2000	0.1	0.7	0.536657
0.3	5000	0.1	0.7	0.465074
0.35	500	0.1	0.7	0.554267
0.35	1000	0.1	0.7	0.573313
0.35	2000	0.1	0.7	0.547095
0.35	5000	0.1	0.7	0.462347
0.4	500	0.1	0.7	0.570253
0.4	1000	0.1	0.7	0.58167
0.4	2000	0.1	0.7	0.552503
0.4	5000	0.1	0.7	0.457002
0.1	500	0.1	0.8	0.458465
0.1	1000	0.1	0.8	0.48287
0.1	2000	0.1	0.8	0.484407
0.1	5000	0.1	0.8	0.445376
0.15	500	0.1	0.8	0.486471
0.15	1000	0.1	0.8	0.51394
0.15	2000	0.1	0.8	0.507443
0.15	5000	0.1	0.8	0.454697
0.2	500	0.1	0.8	0.516458
0.2	1000	0.1	0.8	0.536899
0.2	2000	0.1	0.8	0.523426
0.2	5000	0.1	0.8	0.460934
0.25	500	0.1	0.8	0.536242
0.25	1000	0.1	0.8	0.553966
0.25	2000	0.1	0.8	0.53469
0.25	5000	0.1	0.8	0.464707
0.3	500	0.1	0.8	0.55428
0.3	1000	0.1	0.8	0.572335
0.3	2000	0.1	0.8	0.546153
0.3	5000	0.1	0.8	0.461998
0.35	500	0.1	0.8	0.571687
0.35	1000	0.1	0.8	0.582131
0.35	2000	0.1	0.8	0.556126
0.35	5000	0.1	0.8	0.45701
0.4	500	0.1	0.8	0.587567
0.4	1000	0.1	0.8	0.593341
0.4	2000	0.1	0.8	0.562105
