s	mu	alpha	lambda	MAP
0.1	100	0.1	0.1	0.500562
0.1	500	0.1	0.1	0.41276
0.1	1000	0.1	0.1	0.440382
0.1	2000	0.1	0.1	0.461434
0.1	5000	0.1	0.1	0.476879
0.1	10000	0.1	0.1	0.470321
0.15	100	0.1	0.1	0.376319
0.15	500	0.1	0.1	0.419506
0.15	1000	0.1	0.1	0.44509
0.15	2000	0.1	0.1	0.466915
0.15	5000	0.1	0.1	0.481227
0.15	10000	0.1	0.1	0.474455
0.2	100	0.1	0.1	0.383708
0.2	500	0.1	0.1	0.425262
0.2	1000	0.1	0.1	0.449825
0.2	2000	0.1	0.1	0.472046
0.2	5000	0.1	0.1	0.484504
0.2	10000	0.1	0.1	0.478413
0.25	100	0.1	0.1	0.388926
0.25	500	0.1	0.1	0.434345
0.25	1000	0.1	0.1	0.454638
0.25	2000	0.1	0.1	0.475096
0.25	5000	0.1	0.1	0.489121
0.25	10000	0.1	0.1	0.484829
0.3	100	0.1	0.1	0.396299
0.3	500	0.1	0.1	0.438335
0.3	1000	0.1	0.1	0.460194
0.3	2000	0.1	0.1	0.479579
0.3	5000	0.1	0.1	0.493515
0.3	10000	0.1	0.1	0.486824
0.35	100	0.1	0.1	0.402576
0.35	500	0.1	0.1	0.444515
0.35	1000	0.1	0.1	0.465825
0.35	2000	0.1	0.1	0.490225
0.35	5000	0.1	0.1	0.496547
0.35	10000	0.1	0.1	0.489235
0.4	100	0.1	0.1	0.412864
0.4	500	0.1	0.1	0.451412
0.4	1000	0.1	0.1	0.469646
0.4	2000	0.1	0.1	0.493721
0.4	5000	0.1	0.1	0.499256
0.4	10000	0.1	0.1	0.49114
0.1	100	0.1	0.2	0.387194
0.1	500	0.1	0.2	0.434206
0.1	1000	0.1	0.2	0.456856
0.1	2000	0.1	0.2	0.477296
0.1	5000	0.1	0.2	0.490705
0.1	10000	0.1	0.2	0.483696
0.15	100	0.1	0.2	0.403121
0.15	500	0.1	0.2	0.447008
0.15	1000	0.1	0.2	0.470204
0.15	2000	0.1	0.2	0.492833
0.15	5000	0.1	0.2	0.499577
0.15	10000	0.1	0.2	0.490493
0.2	100	0.1	0.2	0.4195
0.2	500	0.1	0.2	0.459725
0.2	1000	0.1	0.2	0.482796
0.2	2000	0.1	0.2	0.506207
0.2	5000	0.1	0.2	0.507773
0.2	10000	0.1	0.2	0.497242
0.25	100	0.1	0.2	0.428114
0.25	500	0.1	0.2	0.471286
0.25	1000	0.1	0.2	0.496677
0.25	2000	0.1	0.2	0.513945
0.25	5000	0.1	0.2	0.517625
0.25	10000	0.1	0.2	0.503968
0.3	100	0.1	0.2	0.440875
0.3	500	0.1	0.2	0.487993
0.3	1000	0.1	0.2	0.508131
0.3	2000	0.1	0.2	0.525119
0.3	5000	0.1	0.2	0.522601
0.3	10000	0.1	0.2	0.510253
0.35	100	0.1	0.2	0.460042
0.35	500	0.1	0.2	0.497792
0.35	1000	0.1	0.2	0.51811
0.35	2000	0.1	0.2	0.533082
0.35	5000	0.1	0.2	0.534214
0.35	10000	0.1	0.2	0.516034
0.4	100	0.1	0.2	0.471833
0.4	500	0.1	0.2	0.507228
0.4	1000	0.1	0.2	0.526302
0.4	2000	0.1	0.2	0.539767
0.4	5000	0.1	0.2	0.541275
0.4	10000	0.1	0.2	0.520734
0.1	100	0.1	0.3	0.404361
0.1	500	0.1	0.3	0.449961
0.1	1000	0.1	0.3	0.474727
0.1	2000	0.1	0.3	0.498909
0.1	5000	0.1	0.3	0.50124
0.1	10000	0.1	0.3	0.491836
0.15	100	0.1	0.3	0.426832
0.15	500	0.1	0.3	0.469001
0.15	1000	0.1	0.3	0.49603
0.15	2000	0.1	0.3	0.51503
0.15	5000	0.1	0.3	0.51757
0.15	10000	0.1	0.3	0.503462
0.2	100	0.1	0.3	0.451592
0.2	500	0.1	0.3	0.491234
0.2	1000	0.1	0.3	0.511937
0.2	2000	0.1	0.3	0.52916
0.2	5000	0.1	0.3	0.529929
0.2	10000	0.1	0.3	0.514772
0.25	100	0.1	0.3	0.472067
0.25	500	0.1	0.3	0.508893
0.25	1000	0.1	0.3	0.527504
0.25	2000	0.1	0.3	0.542854
0.25	5000	0.1	0.3	0.545169
0.25	10000	0.1	0.3	0.525327
0.3	100	0.1	0.3	0.49143
0.3	500	0.1	0.3	0.520605
0.3	1000	0.1	0.3	0.541876
